TrainerID,MemberID,Duration,Appointmentstatus
1,1,30 minutes,Scheduled
1,31,45 minutes,Scheduled
2,1,30 minutes,Scheduled
2,31,45 minutes,Scheduled
3,2,30 minutes,Scheduled
3,32,45 minutes,Scheduled
4,2,30 minutes,Scheduled
4,32,45 minutes,Scheduled
5,3,30 minutes,Scheduled
5,33,45 minutes,Scheduled
6,3,30 minutes,Scheduled
6,33,45 minutes,Scheduled
7,4,30 minutes,Scheduled
7,34,45 minutes,Scheduled
8,4,30 minutes,Scheduled
8,34,45 minutes,Scheduled
9,5,30 minutes,Scheduled
9,35,45 minutes,Scheduled
10,5,30 minutes,Scheduled
10,35,45 minutes,Scheduled
11,6,30 minutes,Scheduled
11,36,45 minutes,Scheduled
12,6,30 minutes,Scheduled
12,36,45 minutes,Scheduled
13,7,30 minutes,Scheduled
13,37,45 minutes,Scheduled
14,7,30 minutes,Scheduled
14,37,45 minutes,Scheduled
